Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2005-01-03,81.38372802734375,82.37142682532111,81.11312441498436,82.23612243847411,55748000
2005-01-04,80.38924407958984,81.5460692218884,80.12540703808317,81.49194747969898,69167600
2005-01-05,79.8344955444336,80.67336176033228,79.82772903747764,80.32834216423448,65667300
2005-01-06,80.24044799804688,80.60576218031059,80.00367172102477,80.12544311511267,47814700
2005-01-07,80.12543487548828,80.6598756522856,79.91571434197591,80.48398250972738,55847700
2005-01-10,80.5042724609375,80.81546482756076,80.05777569925961,80.05777569925961,56563300
2005-01-11,79.94952392578125,80.32836584567934,79.82098606238695,80.26071624017383,63099700
2005-01-12,80.21338653564453,80.3960410447898,79.50305254837092,80.09838165354064,72720500
2005-01-13,79.57067108154297,80.32159347062753,79.48948846928157,80.26070522109815,55537500
2005-01-14,79.99010467529297,80.18629212461691,79.66538453673392,79.8074502425202,42032500
2005-01-18,80.82220458984375,80.92368156221758,79.79391217307774,79.86156692888244,57391700
2005-01-19,79.97661590576172,80.85607144205035,79.96984939417923,80.79518832181618,54378900
2005-01-20,79.4895248413086,79.96307739285018,79.3474590758461,79.75336200021543,72049300
2005-01-21,79.00240325927734,79.82774175407347,78.91445930017066,79.68567605336267,63160400
2005-01-24,78.84681701660156,79.3812524901759,78.72504566736508,79.21212590297714,58441900
2005-01-25,79.070068359375,79.46920983030085,78.96183001627715,79.09036788745681,68245000
2005-01-26,79.30687713623047,79.55718129437719,79.17833922063978,79.3677602575085,57195100
2005-01-27,79.44215393066406,79.65863579175515,79.13772808771353,79.27979382517942,55878800
2005-01-28,79.44215393066406,79.52333656407373,78.88741883903474,79.48274266670155,60738900
2005-01-31,79.93596649169922,79.99684956572631,79.63153563756735,79.79389566297172,52532700
2005-02-01,80.4433822631836,80.5583871178413,79.89540854385164,79.99688554086381,49841200
2005-02-02,80.68690490722656,80.90338671885847,80.43660087706893,80.54483920221813,52468900
2005-02-03,80.47724914550781,80.61255360371719,80.2134119036712,80.54489879394383,48837100
2005-02-04,81.33638000488281,81.47167924240966,80.49074686700234,80.504274726221,50024600
2005-02-07,81.22814178466797,81.53256766962997,81.15372565077318,81.34991317091985,45412000
2005-02-08,81.32281494140625,81.62047934028128,81.22810448018838,81.29575407229642,39263500
2005-02-09,80.7140121459961,81.5122902527194,80.67342339591512,81.46493499051279,55279400
2005-02-10,81.00487518310547,81.19429614997546,80.68015500028099,80.95075859352421,45858600
2005-02-11,81.70166778564453,81.88432738639376,80.81544613865256,80.97780621383676,53133000
2005-02-14,81.64078521728516,81.7625565647888,81.50548601398499,81.64755172585029,32432100
2005-02-15,81.94522094726562,82.14817493817273,81.64079512223935,81.72197775086907,43852700
2005-02-16,81.99932861328125,82.16845518953866,81.63401458920524,81.80990767368631,55523000
2005-02-17,81.33638000488281,82.08053613395062,81.32961349460595,82.01288651518719,58124000
2005-02-18,81.44461059570312,81.50549885971816,81.1131238824399,81.34313359656777,47723300
2005-02-22,80.23365020751953,81.49871891061149,80.22012235182176,81.11311050655321,80697600
2005-02-23,80.80866241455078,80.8898450155145,80.2471661988828,80.45688146637328,68292600
2005-02-24,81.3431167602539,81.3972385034353,80.49072253114757,80.66661045448687,68563600
2005-02-25,82.14817810058594,82.31053820276128,81.30254504147645,81.36342814429173,60899900
2005-02-28,81.60694122314453,82.06020430073062,81.20780504172721,81.95872733824619,69381300
2005-03-01,82.01290130615234,82.20908368754709,81.70847022481041,81.73553110946321,47294400
2005-03-02,81.9722900390625,82.48643641591173,81.6205089357456,81.69492506244752,64226500
2005-03-03,82.006103515625,82.46612805658646,81.6543173106541,82.3037679719336,61230800
2005-03-04,83.02763366699219,83.09528327547821,82.39171599228817,82.56760910341926,56168500
2005-03-07,83.0682373046875,83.37942968862764,82.80440017131794,82.98029331400939,43442400
2005-03-08,82.75703430175781,83.2102923792497,82.60820205868058,82.98704401463385,44362000
2005-03-09,81.8370132446289,82.7300018485651,81.83024673270936,82.51351991916651,73263600
2005-03-10,82.01963806152344,82.19553117835447,81.45137513822473,81.99257718498524,65149000
2005-03-11,81.44461059570312,82.34436540732358,81.28901700351888,82.06699528710925,57976500
2005-03-14,81.95198822021484,81.96552123911307,81.37019227961711,81.5934406394281,36336400
2005-03-15,81.2754898071289,82.16847817309475,81.23490106910067,82.14141729396428,62438500
2005-03-16,80.58544921875,81.28901653769961,80.43661697571562,80.97781903244525,74874200
2005-03-17,80.747802734375,81.0048733032565,80.49073216549351,80.71397535050427,62584200
2005-03-18,80.508056640625,81.18042717778445,80.24318324169529,80.89517969918434,60232000
2005-03-21,80.20921325683594,80.67104467256208,79.97830013977618,80.62350343189644,61244300
2005-03-22,79.39421081542969,80.77291183283627,79.39421081542969,80.39258194709821,92472400
2005-03-23,79.46216583251953,79.95116460516165,79.29237487988594,79.42820556934934,70817300
2005-03-24,79.55722045898438,80.1345084592217,79.50288612960497,79.77455259489514,51932500
2005-03-28,79.67269897460938,80.1005754593547,79.67269897460938,79.74740740268845,46765500
2005-03-29,79.1429443359375,80.07340046095796,78.95277933090739,79.55723460329926,71160300
2005-03-30,80.26355743408203,80.27713842667896,79.30593423537042,79.31272732247251,62002100
2005-03-31,80.11412048339844,80.45370221070088,80.05299825965486,80.27033035786418,64575400
2005-04-01,79.75416564941406,80.81365899334182,79.40100292864015,80.56915973218833,95255300
2005-04-04,79.89004516601562,80.0462551379854,79.28558972865333,79.70667319872076,71581200
2005-04-05,80.27034759521484,80.39938515580741,79.91717962128126,79.99188803185926,46853900
2005-04-06,80.548828125,80.78653442600087,80.26358056379895,80.44695251553999,53268200
2005-04-07,80.98348999023438,80.99707616792328,80.35866053836757,80.4197879747505,46734600
2005-04-08,80.14132690429688,80.96311446516656,80.14132690429688,80.93594729188055,63772900
2005-04-11,80.20243835449219,80.42656361770503,80.02585952433158,80.33827420262472,44945000
2005-04-12,80.61673736572266,80.86123673726743,79.5097022868343,80.06661637055109,86144800
2005-04-13,79.66590118408203,80.68464669701603,79.55043942126105,80.5216436841891,65949000
2005-04-14,78.62677001953125,79.80172536221832,78.62677001953125,79.73381003652936,96119800
2005-04-15,77.52650451660156,78.91878640224682,77.4925442733591,78.60637185451756,128677300
2005-04-18,77.76422119140625,78.07663578138683,77.39747227753175,77.5061409253196,100035200
2005-04-19,78.38227081298828,78.46376712590033,77.98835469522385,78.17172658088282,64930100
2005-04-20,77.2888412475586,78.5317070431925,77.11905030033778,78.36191609597168,107735900
2005-04-21,78.789794921875,78.92562561101246,77.68275459713094,77.96121424595398,86952200
2005-04-22,78.49093627929688,79.1225586284016,77.60802153526419,78.60639284658525,88845800
2005-04-25,79.00713348388672,79.12259009709459,78.59284311262643,78.68792563898693,52284100
2005-04-26,78.23966217041016,79.30594905395827,78.2057070917696,78.75582807286393,72626000
2005-04-27,78.5452880859375,78.83053561503496,77.7235005769044,78.00874810600187,84131900
2005-04-28,77.56048583984375,78.56565030986029,77.56048583984375,78.2871907294828,72481500
2005-04-29,78.61318969726562,78.69469119775155,77.40427927223092,78.1513582243932,103993800
2005-05-02,79.05464935302734,79.06144244033074,78.45698202890598,78.83052410648183,56026400
2005-05-03,79.19047546386719,79.36026636545421,78.57243927652611,78.83051958155983,86000300
2005-05-04,79.8017578125,79.97154878656916,78.97317702998507,79.22446953698676,81055700
2005-05-05,79.77454376220703,80.14129267250105,79.28554521514833,79.91716747483144,96906700
2005-05-06,79.52325439453125,80.13450260134987,79.50288031790504,80.09375444809746,67415400
2005-05-09,80.0190658569336,80.19564986742297,79.49611209483258,79.60477559094375,43750500
2005-05-10,79.19047546386719,79.8017237459019,79.04785172832693,79.70664125554173,74613500
2005-05-11,79.62517547607422,79.7338441890085,78.68113805429773,79.41463632177583,91647400
2005-05-12,78.7490234375,79.86285141311056,78.7490234375,79.67947950683639,95086800
2005-05-13,78.59278869628906,79.20403678653783,77.96795961808166,78.9867047079611,85267000
2005-05-16,79.32632446289062,79.3534864518394,78.55207823765144,78.57924022660022,49207000
2005-05-17,79.8560562133789,79.93755252800922,78.89164515846903,79.0614360560915,61071800
2005-05-18,80.67786407470703,80.87482218788269,80.14811716832138,80.20244633137014,77944900
2005-05-19,81.01744842529297,81.09894994476221,80.61673909824641,80.83407130188928,61768100
2005-05-20,80.90196990966797,81.08534180178872,80.64388442540024,81.05138154914074,46345500
2005-05-23,81.3502426147461,81.52682666114998,80.94953844277786,80.96311943945102,51047900
2005-05-24,81.16007232666016,81.3841976193491,80.95632111846867,81.11932415766525,50654100
2005-05-25,81.09894561767578,81.41136031989278,80.70502940033809,81.05819226931135,47608800
2005-05-26,81.53360748291016,81.64227098477254,81.24156687309343,81.35702346307474,43256200
2005-05-27,81.66944122314453,81.66944122314453,81.36381960721887,81.54039845207856,24596100
2005-05-31,81.146484375,81.61510382309687,81.09215003325866,81.5539815748439,43377200
2005-06-01,81.83920288085938,82.12445031121544,81.12607912336287,81.17362036175555,69611000
2005-06-02,82.01580810546875,82.07013726228267,81.56755758590181,81.6558521812389,39704500
2005-06-03,81.60150909423828,82.10408871673708,81.31626162051792,81.87317557561312,60999400
2005-06-06,81.52684783935547,81.63551138579466,81.19405892752216,81.46572038442518,36046400
2005-06-07,81.58792114257812,82.34858623753222,81.50642482706638,81.76450512886528,66501300
2005-06-08,81.43850708007812,81.90033333851991,81.27550409069138,81.79166986053563,46881200
2005-06-09,81.82566833496094,81.893583688127,81.11933726249339,81.32308332199159,56653300
2005-06-10,81.63545989990234,81.94108661858066,81.22796278993813,81.87995920220224,36465300
2005-06-13,81.89353942871094,82.23312119262339,81.37058061058613,81.45887518543154,49383200
2005-06-14,82.08370971679688,82.31462284407844,81.75770892236821,81.80525016513833,33857100
2005-06-15,82.23992919921875,82.34180478961544,81.65585318960044,82.28747563213061,53195600
2005-06-16,82.45046997070312,82.6134677994597,82.12446913158244,82.21955163015774,46564500
2005-06-17,82.7560043334961,83.12423371616521,82.66053803456593,82.87874746105247,51529400
2005-06-20,82.78324127197266,83.08327583723926,82.4695656977045,82.56503195063304,41019400
2005-06-21,82.83097839355469,82.95372146788593,82.53093861129592,82.85143470552309,39879800
2005-06-22,82.899169921875,83.15147658172087,82.5582175070935,82.97417986932861,46310100
2005-06-23,81.73308563232422,82.91959817758824,81.7126293267623,82.72866572231808,62185600
2005-06-24,81.13304901123047,81.83541024071795,81.03757753688656,81.74675927222466,58572500
2005-06-27,81.24896240234375,81.42625911674229,80.97619942692779,81.12621932353262,48183800
2005-06-28,81.93085479736328,81.99222372618866,81.39896993746231,81.41942624707077,41174200
